GenerationIndex,GenerationTotalPackets,GenerationRedundancyUsed,MissedPackets,ReceivedPackets,RngResolution,PacketErrorRate,ConfiguredPacketErrorRate,Success,Rank
0,6,3,9,0,0,1,0.3,False,0
1,6,3,3,5,8,0.375,0.3,False,6
2,6,3,0,6,6,0,0.3,True,6
3,6,3,0,6,6,0,0.3,True,6
4,6,3,1,6,7,0.14285715,0.3,True,6
5,6,3,2,6,8,0.25,0.3,True,6
6,6,3,3,5,8,0.375,0.3,False,6
7,6,3,2,6,8,0.25,0.3,True,6
8,6,3,2,2,4,0.5,0.3,True,2
0,6,3,2,5,7,0.2857143,0.35000002,False,6
1,6,3,3,6,9,0.33333334,0.35000002,True,6
2,6,3,1,6,7,0.14285715,0.35000002,True,6
2,6,3,1,6,7,0.14285715,0.35000002,True,6
0,6,3,9,0,0,1,0.35000002,False,0
1,6,3,9,0,0,1,0.35000002,False,0
5,6,3,1,6,7,0.14285715,0.35000002,True,6
5,6,3,1,6,7,0.14285715,0.35000002,True,6
0,6,3,9,0,0,1,0.35000002,False,0
7,6,3,3,5,8,0.375,0.35000002,False,6
8,6,3,0,2,2,0,0.35000002,True,2
0,6,3,3,6,9,0.33333334,0.40000004,True,6
1,6,3,6,3,9,0.6666667,0.40000004,False,4
2,6,3,3,4,7,0.42857143,0.40000004,False,5
3,6,3,1,6,7,0.14285715,0.40000004,True,6
3,6,3,1,6,7,0.14285715,0.40000004,True,6
0,6,3,9,0,0,1,0.40000004,False,0
1,6,3,9,0,0,1,0.40000004,False,0
6,6,3,2,3,5,0.4,0.40000004,False,4
7,6,3,3,6,9,0.33333334,0.40000004,True,6
0,6,3,5,3,8,0.625,0.45000005,False,4
1,6,3,4,4,8,0.5,0.45000005,False,5
2,6,3,5,4,9,0.5555556,0.45000005,False,5
3,6,3,5,4,9,0.5555556,0.45000005,False,5
4,6,3,2,6,8,0.25,0.45000005,True,6
4,6,3,2,6,8,0.25,0.45000005,True,6
0,6,3,9,0,0,1,0.45000005,False,0
6,6,3,4,4,8,0.5,0.45000005,False,5
7,6,3,3,6,9,0.33333334,0.45000005,True,6
